month,Vgas_actual,Vgas_pred
2025-01-01,523531.0,553529.0555
2025-02-01,563238.0,575489.2477500001
2025-03-01,461180.0,461180.0
2025-04-01,287883.0,343018.1087
2025-05-01,175060.0,191494.11345
2025-06-01,45783.0,45783.0
2025-07-01,44823.0,44823.0
2025-08-01,24878.65,25251.892000000003
2025-09-01,66649.0,66649.0
2025-10-01,9778.0,352517.13950000005
2025-11-01,231879.36195652175,322640.3827
2025-12-01,231879.36195652175,368248.00505000004
